Contractor,Phone,City,Zip,Permits,Total Sq Ft,Residential,Commercial,Most Recent Permit,Recent Project Addresses
We Level It,5124445438,AUSTIN,78723,20,20,20,0,2026-03-11,807 W 30TH ST | 11804 TIMBER HEIGHTS DR | 7212 DERBY DOWNS DR
Renewal by Andersen,5128348383,AUSTIN,78758,18,59,18,0,2026-03-11,4810 RUSTOWN DR | 4204 BOWSTRING CV | 1745 FRIARS TALE LN
GL Hunt Foundation Repair,2106481560,San Antonio,78233,17,566,16,1,2026-03-04,3717 BRONCO BEND LOOP | 6701 LEXINGTON RD | 8109 ALMONDSBURY LN
Novo Construction,6503808574,AUSTIN,78702,16,191277,0,16,2026-03-12,712 E HUNTLAND DR | 712 E HUNTLAND DR | 11120 FOUR POINTS DR
Harvey-Cleary Builders,5129289300,AUSTIN,78759,14,222069,0,14,2026-03-03,200 W 6TH ST UNIT 2300 | 8201 N FM 620 RD UNIT 100 | 8201 N FM 620 RD UNIT 115
"PWD-Austin, LLC Pella Windows & Doors of Austin",9082976873,Austin,78758,13,13,13,0,2026-03-12,3900 CRESTHILL DR | 1414 RIDGEMONT DR | 3901 CONFERENCE CV
"Taylor Morrison of Texas, Inc.",5123288866,AUSTIN,78717,13,46627,13,0,2026-03-11,8800 GOLDEN LION DR | 8512 AMBERGILL CT | 9109 THE RAVINE WAY
Douglas Foundation Repair,5122910709,AUSTIN,78739,13,13,13,0,2026-03-11,8824 SOUTHWICK DR | 12208 BARRAS BRANCH DR | 3316 BANKSIDE ST
Foundation Support Specialists,7262242320,San Antonio,78266,12,12,12,0,2026-03-12,7125 OUTFITTER DR | 5306 VILLAGE CV | 5307 NORTHDALE DR
"Real International Construction, LLC",8582321146,AUSTIN,78759,10,23015,10,0,2026-02-27,1942 WEBBERVILLE RD BLDG 1 | 1932 WEBBERVILLE RD BLDG 1 | 1932 WEBBERVILLE RD BLDG 2
Denali Pools LLC,512,CEDAR PARK,78613,9,3840,9,0,2026-03-12,9105 MIDDLEBIE DR | 7808 YOKOHAMA TER | 4715 BULL CREEK RD
Brookfield Residential Texas Homes LLC,5125393678,AUSTIN,78759,9,26588,9,0,2026-03-12,8816 BREEZE HILL DR | 8616 PEAFOWL ST | 9317 BOATHOUSE DR
"Cody Pools, Inc.",5128354966,Georgetown,78626,9,3414,9,0,2026-03-11,5953 SALCON CLIFF DR | 5008 AVENUE H | 5000 MC DADE DR
Arca Specialties,5122894394,AUSTIN,78760,9,18027,9,0,2026-02-17,5912 HAROLD CT UNIT 402 | 5912 HAROLD CT UNIT 108 | 5912 HAROLD CT UNIT 405
"Milestone Community Builders, LLC",5126864986,AUSTIN,78756,8,32878,8,0,2026-03-14,6104 ADHARA PASS | 1109 ETERNITY TER | 1109 ETERNITY TER
Perry Homes LLC,7372006189,NEW BRAUNFELS,78132,8,25126,8,0,2026-03-10,8900 BINNEWATER WAY | 8206 PEERLESS PASS | 7005 STITZEL WELLER DR
David Weekley Homes,5128218885,AUSTIN,78758,7,19214,7,0,2026-03-13,1019 BRICKELL LOOP | 1105 MAUFRAIS ST | 1008 BRICKELL LOOP UNIT B
Home Depot USA Inc,9365259517,Houston,77040,7,7,7,0,2026-03-12,5801 MARCHMONT LN | 2902 GONZALES ST UNIT 2 | 1833 CORONADO HILLS DR
Topos Collective,5123639245,Austin,78745,7,10684,7,0,2026-03-12,901 SHADY LN | 703 ORLAND BLVD BLDG 3 | 5100 GLISSMAN RD
Olshan Foundation Repair,2104955758,San Antonio,78220,7,182,6,1,2026-03-12,2812 CLAYERA CV | 2001 FARO DR BLDG 32 | 12012 EMERALD OAKS DR
Window Nation LLC,4108744438,Fulton,20759,7,7,7,0,2026-03-10,3212 JOHN CAMPBELLS TRL | 12310 OLD STAGE CV | 4215 CREEK LEDGE
JE Dunn,7372374020,AUSTIN,78746,7,281138,0,7,2026-02-20,901 W BEN WHITE BLVD SVRD EB | 901 W BEN WHITE BLVD SVRD EB | 901 W BEN WHITE BLVD SVRD EB
CM Constructors,5129608300,CEDAR PARK,78613,6,38010,0,6,2026-03-11,4900 MUELLER BLVD UNIT 200 | 4900 MUELLER BLVD UNIT 200 | 12221 N MOPAC EXPY SVRD NB
"Venditti, LLC",7372941405,BUDA,78610,6,0,6,0,2026-03-10,3400 LARRY LN | 66 ANTHONY ST | 66 ANTHONY ST
"West Shore Home, LLC",4697035430,SAN MARCOS,78666,6,6,6,0,2026-03-10,5506 TIPTON DR | 2603 RAE DELL AVE UNIT 3 | 11227 TIMBROOK TRL
Southwest Destructors,5129179511,AUSTIN,78763,6,0,6,0,2026-03-09,2113 WILSON ST BLDG B | 112 AINSWORTH ST | 3009 SILVERLEAF DR
LevelSmart Foundation,5124746100,PFLUGERVILLE,78660,6,6,6,0,2026-03-04,5708 GLOUCESTER LN | 2410 PEGRAM AVE | 1300 RIDGEMONT DR
Joseph Design Build,5122002168,AUSTIN,78704,6,6564,6,0,2026-02-25,4411 MOUNT VERNON DR UNIT A | 910 PLATEAU CIR | 4411 MOUNT VERNON DR UNIT B
"Structura, Inc.",5124959702,AUSTIN,78758,5,13870,0,5,2026-03-13,801 BARTON SPRINGS RD UNIT 600 | 801 BARTON SPRINGS RD UNIT 625 | 801 BARTON SPRINGS RD UNIT FLR6
"AWhiddon Construction, LLC",5126691455,AUSTIN,78704,5,10886,5,0,2026-03-13,5002 EMERALD FOREST CIR | 5002 EMERALD FOREST CIR | 2102 LA CASA DR
Camp Facility Services,5123941111,Austin,78737,5,4925,0,5,2026-03-11,2600 LAKE AUSTIN BLVD BLDG 06 | 2600 LAKE AUSTIN BLVD BLDG 10 | 2600 LAKE AUSTIN BLVD BLDG 08
KB Home,5126518100,AUSTIN,78750,5,12221,5,0,2026-03-11,13312 KINCANE DR | 13324 KINCANE DR | 13009 STAYWELL WAY
PermaPier Foundation Repair of Texas,9728421993,Grand Prairie,75050,5,14001,1,4,2026-03-10,2601 SCOFIELD RIDGE PKWY | 2601 SCOFIELD RIDGE PKWY | 2601 SCOFIELD RIDGE PKWY
Austin 787 Properties,5122938358,Austin,78757,5,10442,5,0,2026-03-09,4610 LENNOX DR | 1207 PEREZ ST BLDG 1 | 1207 PEREZ ST BLDG 2
Team Work Home Designs,5127908264,AUSTIN,78702,5,2081,5,0,2026-03-06,3501 HOLLYWOOD AVE | 1501 SUFFOLK DR | 8703 CAMELIA LN
DAR Construction,5124534646,AUSTIN,78714,5,0,5,0,2026-03-05,2607 JARRATT AVE | 5114 WATERBROOK DR | 3314 FAR VIEW DR
"Lott Brothers Construction CO., LTD",5124018882,AUSTIN,78729,5,11746,4,1,2026-03-03,7051 MEADOW LAKE BLVD UNIT 7103 | 7051 MEADOW LAKE BLVD UNIT 7102 | 7051 MEADOW LAKE BLVD UNIT 7104
JD Davis Green Construction LLC,5125893038,CEDAR PARK,78613,5,4020,5,0,2026-02-26,1704 MIRIAM AVE | 2811 E 22ND ST | 2811 E 22ND ST
Avery Building Company,4062619419,LAKEWAY,78734,5,6983,5,0,2026-02-25,4413 GILLIS ST BLDG 1 | 4413 GILLIS ST BLDG 3 | 4413 GILLIS ST BLDG 3
White Construction,5125839210,AUSTIN,78746,4,4026,0,4,2026-03-13,9111 CIRCUIT OF THE AMERICAS BLVD | 9111 CIRCUIT OF THE AMERICAS BLVD | 9111 CIRCUIT OF THE AMERICAS BLVD
New Home Co,5128519010,AUSTIN,78750,4,8593,4,0,2026-03-12,1306 RAMBLING ROSE RD | 1306 SWEET BARK ST | 1304 SWEET BARK ST
Fix-All Handyman,5127672952,AUSTIN,78754,4,4,4,0,2026-03-11,7608 LOGANBERRY DR | 7303 CHISOS PASS | 3200 CATALINA DR
LFM Development Inc.,512,AUSTIN,78741,4,7650,3,1,2026-03-11,4606 FRANKLIN PARK DR | 2501 W PARMER LN UNIT 400-A | 6021 BELFAST DR
Fore Construction Inc.,5129040790,ROUND ROCK,78664,4,21775,0,4,2026-03-06,811 BARTON SPRINGS RD UNIT 620 | 2700 VIA FORTUNA UNIT 375 | 8911 N CAPITAL OF TEXAS HWY NB BLDG 1 UNIT 1250
ATX Construction Group,5125840211,Austin,78741,4,2573,3,1,2026-03-03,503 SOUTH PARK DR | 5555 N LAMAR BLVD BLDG D UNIT 105 | 503 SOUTH PARK DR
Austin Fire and Flood LLC,5128094146,AUSTIN,78753,4,3528,0,4,2026-03-03,6803 WENTWORTH DR BLDG D | 6803 WENTWORTH DR BLDG B | 6803 WENTWORTH DR BLDG C
New Vision Construction,5126894505,ROUND ROCK,78665,4,6457,4,0,2026-03-03,4801 1/2 FAIRVIEW DR | 2805 OAK HAVEN DR | 2805 OAK HAVEN DR
Ace Remodeling TX,5122034359,Austin,78727,4,3633,3,1,2026-02-25,4410 ADELPHI LN | 4410 ADELPHI LN | 5803 COUGAR DR
MasTec Network Solutions,6362622949,Warrenton,63383,3,1676,0,3,2026-03-13,3000 KRAMER LN | 1703 1/2 W 5TH ST | 1111 W SLAUGHTER LN
"Prominence Homes, LLC",5125659395,Austin,78746,3,9371,3,0,2026-03-12,9803 RIBELIN RANCH CT BLDG 25 | 9803 RIBELIN RANCH CT BLDG 29 | 9803 RIBELIN RANCH CT BLDG 18
Golden Hour Pools,5129992444,AUSTIN,78704,3,591,3,0,2026-03-12,9600 HAMADRYAS DR | 10700 SORGHUM HILL CV | 903 E 13TH ST
Modified Access Cons,5127840313,AUSTIN,78728,3,3,3,0,2026-03-12,6621 MARBLE CREEK LOOP | 5259 MEADOW CREEK DR | 915 HERMITAGE DR
TJR Const.,5123009209,LIBERTY HILL,78642,3,1790,3,0,2026-03-11,6703 KROLLTON DR | 1416 HARVEY ST | 8410 BOWLING GREEN DR
Church Foundation Repair,7134688400,Houston,77043,3,2451,1,2,2026-03-11,13208 HOUTMAN DR | 1302 PARKER LN | 1300 PARKER LN
Trinity Constructors,5125760636,PFLUGERVILLE,78660,3,5215,0,3,2026-03-10,7112 ED BLUESTEIN BLVD SVRD SB | 11700 ROCK ROSE AVE UNIT 156 | 1900 ALDRICH ST UNIT 140
Zapalac/ReedConstruction Company,5123068888,AUSTIN,78738,3,513574,0,3,2026-03-10,6719 E HOWARD LN UNIT 301 | 8001 METROPOLIS DR BLDG 2 | 8001 METROPOLIS DR BLDG 3
Canedo Builders,5123735885,AUSTIN,78749,3,9684,3,0,2026-03-09,1117 GUNTER ST BLDG 2 | 1117 GUNTER ST BLDG 1 | 3004 GREENLAWN PKWY
Statewide Remodeling of Austin,5124535858,AUSTIN,78758,3,3,3,0,2026-03-09,5328 TOWER TRL | 6308 KEDINGTON ST | 11601 BUSTER CRABBE DR
"Paradisa Homes, LLC",5129104505,Austin,78752,3,5386,3,0,2026-03-06,6700 VINE ST | 6700 VINE ST | 6700 VINE ST
EFM Interests,3465005149,Houston,77086,3,3,3,0,2026-03-02,1013 ECHO LN | 3004 YELLOWPINE TER | 918 CANNONEER LN
McCarley's LLC,5129707822,Liberty Hill,78642,3,3617,3,0,2026-03-02,512 POWELL CIR | 512 POWELL CIR | 512 POWELL CIR
Mendoza's Foundation Repair,5126595128,AUSTIN,78724,3,3,3,0,2026-02-26,7403 CHISOS PASS | 1106 LILY TER | 8304 VIEW RIDGE DR
Tex Roofing LLC,8306139389,AUSTIN,78731,3,41500,0,3,2026-02-25,8600 N FM 620 RD BLDG 26 | 8600 N FM 620 RD BLDG 30 | 8600 N FM 620 RD BLDG 2
DropShot LLC,5128264153,AUSTIN,78749,3,3518,0,3,2026-02-25,5608 COURTYARD DR | 5608 COURTYARD DR | 3808 W 35TH ST
LD Construction & Remodeling,5127849636,AUSTIN,78750,3,5115,3,0,2026-02-25,2503 S 4TH ST BLDG 3 | 2503 S 4TH ST BLDG 1 | 2503 S 4TH ST BLDG 2
"Red Rock Recycling, LLC",8443433505,Drippng Springs,78620,3,0,3,0,2026-02-25,1807 FERGUSON LN | 1807 FERGUSON LN | 1807 FERGUSON LN
ATX Luxury Builders,5127714244,AUSTIN,78745,3,4066,3,0,2026-02-25,904 W ELIZABETH ST | 904 W ELIZABETH ST | 904 W ELIZABETH ST
ITALEX BUILDERS INC,5126567729,Austin,78737,3,1740,1,2,2026-02-24,1702 GARDEN ST | 3951 W PARMER LN UNIT 200 | 6808 S IH 35 SVRD SB BLDG 7
Pool Lux LLC,5127610603,DRIPPING SPRINGS,78620,3,1503,3,0,2026-02-23,2204 LINDELL AVE | 3401 SPANISH OAK DR | 3401 SPANISH OAK DR
Pravo Construction,5124872896,AUSTIN,78746,3,7999,0,3,2026-02-23,1900 E HOWARD LN BLDG F UNIT 1 | 1900 E HOWARD LN BLDG F UNIT 2 | 114 W 7TH ST UNIT 1100
True Insight CS,5126585156,LEANDER,78641,3,6649,3,0,2026-02-23,600 GAYLOR ST | 602 GAYLOR ST | 603 CANION ST
SMO Construction,5127965987,Round Rock,78664,3,6345,3,0,2026-02-19,4907 MAJESTIC DR BLDG 2 | 4907 MAJESTIC DR BLDG 3 | 4907 MAJESTIC DR BLDG 1
Austin Build right,5127732108,PFLUGERVILLE,78660,2,4560,2,0,2026-03-14,8501 ALVERSTONE WAY | 5800 WOODVIEW AVE
Facil Solutions,5127037469,Austin,78704,2,0,2,0,2026-03-13,2610 METCALFE RD | 2610 METCALFE RD
Cutters Landscaping,5127509522,AUSTIN,78748,2,1057,2,0,2026-03-13,7800 LAZY RIVER CV | 2004 PALO DURO RD
Cascade Custom Pools,5122642453,AUSTIN,78738,2,489,2,0,2026-03-13,4901 RIDGE OAK DR | 3314 FAR VIEW DR
Placeholder Projects LLC,4433702041,AUSTIN,78702,2,3913,2,0,2026-03-13,2312 E 8TH ST | 2312 E 8TH ST
"St. Stephens Build, LLC",5123885300,AUSTIN,78759,2,4801,2,0,2026-03-13,5001 PECAN SPRINGS RD BLDG 20 | 5001 PECAN SPRINGS RD BLDG 21
"Lane Valente Industries, Inc.",6314549100261,Smithtown,11787,2,0,0,2,2026-03-13,2711 E CESAR CHAVEZ ST | 2710 E CESAR CHAVEZ ST
Pulte Homes of Texas L.P. dba Pulte Group,5129316959,Austin,78729,2,4947,2,0,2026-03-12,5113 MONARDA MINT DR | 5215 MONARDA MINT DR
"Paradigm Commercial, LLC",5122939889,Georgetown,78626,2,3777,0,2,2026-03-12,6300 BRIDGE POINT PKWY BLDG 1 UNIT 100 | 11624 ROCK ROSE AVE UNIT 100
Josh Speck Construction,5125504081,DEL VALLE,78617,2,915,2,0,2026-03-12,5431 TORTUGA TRL | 5431 TORTUGA TRL
Kanga Roof LLC,5123887663,ROUND ROCK,78681,2,1642,1,1,2026-03-12,2808 GUADALUPE ST | 8303 GRAYLEDGE DR
Cutting Edge Constructors,7373761541,HUTTO,78634,2,6611,0,2,2026-03-12,901 S MOPAC EXPY SVRD NB BLDG 2 UNIT 275 | 901 S MOPAC EXPY SVRD NB BLDG II UNIT 210
Riverside Homes LLC,5124739930,Austin,78703,2,1012,2,0,2026-03-12,1101 RUTH AVE | 1901 CRESTHAVEN DR
"Titan Siding, Windows and Exteriors",5129448029,AUSTIN,78726,2,2,2,0,2026-03-11,8013 BOTTLEBRUSH DR | 11520 SHAKESPEAREAN WAY
Grigonis Excavation Contractors LLC,512,AUSTIN,78753,2,0,2,0,2026-03-11,2113 W 10TH ST | 4801 WESTFIELD DR
S.Watts Group Inc.,5129199729,AUSTIN,78752,2,9069,0,2,2026-03-11,12221 N MOPAC EXPY SVRD NB | 1301 W 38TH ST UNIT 400
Darnell Pools LLC,5125929030,Austin,78738,2,810,2,0,2026-03-11,2711 SHERWOOD LN | 4804 FIELDSTONE DR
Damselfly Improvement LLC DBA DaBella,5036417676,Hillsboro,97124,2,2,2,0,2026-03-11,5906 EUREKA DR | 11521 LOWESWATER LN
Together Design & Build,5122228866,AUSTIN,,2,1,2,0,2026-03-10,1411 W 9TH ST | 1413 BRIARCLIFF BLVD
Premier Pools & Spa North Austin,5129000185,Georgetown,78626,2,499,2,0,2026-03-10,11408 PARKFIELD DR | 2903 BRINWOOD AVE
"D.H. Allen, Inc.",5123421677,AUSTIN,78758,2,202617,0,2,2026-03-10,4801 FREIDRICH LN BLDG 3 UNIT 250 | 4801 FREIDRICH LN BLDG 3 UNIT 323
Live Oak Builders,5126635082,AUSTIN,78723,2,525,2,0,2026-03-10,9003 TEXAS SUN DR | 513 E 47TH ST
Baird Foundation Repair,2105344110,Austin,,2,2,2,0,2026-03-09,9724 BIG VIEW DR | 3103 YELLOWPINE TER
BC Builders Austin LLC,5126953116,Austin,,2,7020,2,0,2026-03-09,3414 SPANISH OAK DR | 3414 SPANISH OAK DR
21st Century Painting & Roofing,5122190342,AUSTIN,78758,2,2,2,0,2026-03-09,11912 ROTHERHAM DR | 7804 IMAGE CV
Empire Roofing Companies LLC,5129897663,PFLUGERVILLE,78660,2,165720,0,2,2026-03-09,9230 NEILS THOMPSON DR | 2200 DENTON DR
Alex Cahue Construction,5122930486,Austin,78733,2,1811,2,0,2026-03-09,1718 JUSTIN LN | 1718 JUSTIN LN
Jeff Turner Homes LLC,5127509224,LIBERTY HILL,78642,2,2000,2,0,2026-03-07,3817 WESTLAKE DR | 3817 WESTLAKE DR
37th Aluminum,8328320737,Spring,77373,2,1183,2,0,2026-03-06,12418 DEER TRACK | 12418 DEER TRACK
W Homes Collective,5125875778,AUSTIN,78728,2,2,2,0,2026-03-06,9012 BALCONES CLUB DR | 11714 BIG TRL
WBuilders LLC,3166186344,LIBERTY HILL,78642,2,2,2,0,2026-03-05,3110 VAL DR | 6602 LAIRD DR
GFO Home,5124928640,Plugerville,78660,2,7193,2,0,2026-03-05,16812 WIND CHIME DR | 17217 ASTRAL LN
"Sabre Commercial, Inc.",5127677400,AUSTIN,78722,2,11010,0,2,2026-03-04,501 CONGRESS AVE UNIT 210 | 501 CONGRESS AVE UNIT 220
Tri-Covenant Construction,2103891098,San Antonio,78261,2,600,0,2,2026-03-04,501 W WELLS BRANCH PKWY | 7930 W US 290 HWY
Co-Sci Construction LLC,4693941563,Georgetown,78626,2,0,2,0,2026-03-04,2806 S 4TH ST | 2806 S 4TH ST
Turner Construction,5125202709,AUSTIN,78731,2,162300,0,2,2026-03-04,6801 RIVER PLACE BLVD | 6801 RIVER PLACE BLVD
Upper Construction LLC,5128455026,AUSTIN,78758,2,2,2,0,2026-03-04,804 E DEAN KEETON ST | 910 W 22ND HALF ST
Rand Construction Corporation,5128938700,AUSTIN,78703,2,35000,0,2,2026-03-03,10900 STONELAKE BLVD BLDG 2 UNIT 100 | 2900 ESPERANZA XING UNIT 5
Austin Pool Builders,5125538177,AUSTIN,78723,2,552,2,0,2026-03-02,1804 CULLEN AVE | 1502 KAREN AVE BLDG 1
Muniz Concrete & Contracting Inc.,5123852334,Austin,78762,2,3799,0,2,2026-03-02,3615 1/2 LYONS RD | 3615 1/2 LYONS RD
"SHC Remodeling, LLC, DBA Window WorldGC",5123831222,AUSTIN,78704,2,2,2,0,2026-02-27,8029 TAHOE PARKE CIR | 3701 ROCKY FORD DR
Circuit of the Americas,5126556295,Austin,78617,2,9536,0,2,2026-02-26,9201 CIRCUIT OF THE AMERICAS BLVD | 9201 CIRCUIT OF THE AMERICAS BLVD
"MH24, LLC",5129257436,AUSTIN,78702,2,0,2,0,2026-02-26,1603 CANTERBURY ST | 1603 CANTERBURY ST
At Ease Construction LLC,5127911434,Buda,78610,2,2,2,0,2026-02-26,5401 BURGUNDY DR | 7604 ELM FOREST RD
Drew Homes,5127619988,Frisco,75034,2,6079,2,0,2026-02-26,2801 HORSESHOE BEND CV | 2801 HORSESHOE BEND CV
"T Hodd, Inc.",5123264165,AUSTIN,78726,2,4632,2,0,2026-02-25,2606 PEMBROOK TRL | 2606 PEMBROOK TRL
"RCM-TX, LLC",8309923305,Fredericksburg,78624,2,2800,0,2,2026-02-25,3500 E PARMER LN BLDG 12 | 3500 E PARMER LN BLDG 12
Freedom Solar Power,3462773647,AUSTIN,78744,2,3434,0,2,2026-02-25,1304 W OLTORF ST | 1300 W OLTORF ST
"Motiv Construction, LLC",9417870249,AUSTIN,78759,2,5113,0,2,2026-02-25,13306 N FM 620 RD SB | 13306 N FM 620 RD SB
Meritage Homes Corp,5126104868,AUSTIN,78759,2,5292,2,0,2026-02-24,12512 SAINT THOMAS DR | 12516 SAINT THOMAS DR
"Moore-Tate Projects and Design, LLC",5125179333,AUSTIN,78704,2,723,2,0,2026-02-23,4623 PHILCO DR | 2505 PARAMOUNT AVE
Aus-Tex Building Consultants LLC,5129094663,Austin,78701,2,1700,0,2,2026-02-23,9900 S IH 35 SVRD SB BLDG M UNIT 700 | 9201 CIRCUIT OF THE AMERICAS BLVD
TEXAS CONSTRUCTION COMPANY,5124518050,AUSTIN,78745,2,3437,2,0,2026-02-23,4304 AVENUE C | 4304 AVENUE C
Arsenal Property Strategies LLC,5122870407,Austin,78724,2,4354,2,0,2026-02-21,1521 MADISON AVE | 1521 MADISON AVE
"Rivendale Homes Texas LLC/ Pavillian Communities Texas, LLC",5129008797,AUSTIN,78746,2,3792,2,0,2026-02-20,2502 GREENLAWN PKWY | 2502 GREENLAWN PKWY
Nalle Custom Homes,5129856825,AUSTIN,78746,2,5131,2,0,2026-02-20,713 MERIDEN LN | 713 MERIDEN LN
Blue Emerald,5129026320,Austin,78704,2,4299,2,0,2026-02-20,1907 KENWOOD AVE UNIT B | 1907 KENWOOD AVE UNIT A
JHC Ventures LLC,3055105412,Pembroke Pines,33027,2,200,0,2,2026-02-20,3600 N CAPITAL OF TEXAS HWY SB | 853 AIRPORT BLVD
C Brooks Construction,5128457941,Austin,78730,2,3060,0,2,2026-02-19,807 LAS CIMAS PKWY BLDG 2 UNIT 275 | 9600 N MOPAC EXPY SVRD SB BLDG 2 UNIT 150
Miars Construction,5128445889,AUSTIN,78745,2,3899,2,0,2026-02-17,2201 CANTERBURY ST UNIT B | 2201 CANTERBURY ST UNIT A
GOSSETT & COMPANY LLC,5128429904,AUSTIN,78705,2,0,2,0,2026-02-17,2611 WOODMONT AVE | 2611 WOODMONT AVE
Whim Hospitality,7325035069,DRIPPING SPRINGS,78620,2,12000,0,2,2026-02-17,4114 RED RIVER ST | 4114 RED RIVER ST
HomeShare ATX,5126539050,AUSTIN,78722,1,40,1,0,2026-03-13,622 W O DELL ST
Reese Electric LLC,7377049325,CEDAR PARK,78613,1,100,0,1,2026-03-13,4215 1/2 AVENUE H
Western Specialty Contractors,2103402264,Selma,78154,1,200,0,1,2026-03-13,2819 RIO GRANDE ST
Texas Fifth Wall Roofing Systems,2108673598,Austin,78724,1,6600,0,1,2026-03-13,1001 CONGRESS AVE
"Century Land Holdings II, LLC",5122713813,Greenwood Village,80111,1,2540,1,0,2026-03-13,4912 BRIDWELL LN
CKN Capital Group LLC,5127752099,AUSTIN,78745,1,864,1,0,2026-03-13,12103 SAGE HEN CIR
Reliance roofing,5127090676,AUSTIN,78702,1,1,1,0,2026-03-13,8617 COBBLESTONE
RCC Associates,9544293700,Deerfield Beach,33442,1,38623,0,1,2026-03-13,210 W 6TH ST
"Caden Roofing, Sheetmetal and General Contracting",5123640278,AUSTIN,78739,1,1,1,0,2026-03-13,7304 BARLEY CV
Austin Painting & Drywall LLC,5129930948,Cedar Park,78613,1,1,1,0,2026-03-13,11226 BLACKMOOR DR
J Pinnelli Company,5124785958,AUSTIN,78763,1,1,1,0,2026-03-13,8704 PRIMROSE LN
Ace Marketing Inc,,Shanghai,200032,1,400,0,1,2026-03-13,100 W 4TH ST
Strut Design Build,5124268503,AUSTIN,78737,1,0,1,0,2026-03-13,2702 VALLEY SPRING RD
"TX Sinclair Builders,LLC",5122218862,Austin,78766,1,1639,0,1,2026-03-13,1608 W 35TH ST
Techline Roofing and Restoration,8303301800,Canyon lake,78133,1,16722,0,1,2026-03-13,8930 GALEWOOD DR BLDG A
Diamond One Construction Inc DBA Steelwood Inc,8586792000,Ramona,92065,1,845,0,1,2026-03-13,9111 CIRCUIT OF THE AMERICAS BLVD
Shine Like A Diamond LLC,2107816220,Cibolo,78108,1,1,1,0,2026-03-13,8329 FATHOM CIR BLDG A
Guardian Custom Builders,5123821226,AUSTIN,78702,1,112,1,0,2026-03-13,1104 FIESTA ST
ICR Texas LLC,5127482812,Plano,75023,1,4282,0,1,2026-03-13,11401 CENTURY OAKS TER UNIT 350
Thurman Homes,5129220511,LEANDER,78641,1,2423,1,0,2026-03-12,2708 BRISTOL DR
Driftwood Custom Pools LLC,5127840954,Dripping Springs,78620,1,708,1,0,2026-03-12,12401 CASCADE CAVERNS TRL
Rauser Construction,5127515580,Austin,78757,1,0,1,0,2026-03-12,1513 MURRAY LN
Level Best Foundation Repair Inc,5128326161,AUSTIN,78754,1,1,1,0,2026-03-12,2505 SIDE CV
KiliGray LLC,5127675710,AUSTIN,78701,1,3111,1,0,2026-03-12,207 SANDRA ST BLDG 1
CHX2 LLC,5128487535,Austin,,1,1990,0,1,2026-03-12,10000 RESEARCH BLVD SVRD SB UNIT 250
"Ace Painting and Repair, Inc.",5126801280,Austin,78703,1,0,1,0,2026-03-12,3817 RED RIVER ST
Hotel San Jose,5127012880,Austin,78704,1,480,0,1,2026-03-12,1316 S CONGRESS AVE
MML Hospitality,5123874094,AUSTIN,78704,1,1603,0,1,2026-03-12,607 BLANCO ST
Galbraith Construction Company,5124476700,AUSTIN,78759,1,1500,0,1,2026-03-12,202 NUECES ST UNIT 1402
Titan Remodeling LLC,5126528217,Hutto,78634,1,560,0,1,2026-03-12,5800 TECHNI CENTER DR BLDG 7 UNIT 714
"NXP USA, Inc.",5125170343,Austin,78735,1,1000,0,1,2026-03-12,3501 ED BLUESTEIN BLVD NB BLDG X
"Loberg Construction Co., Inc.",8473924300,PALATINE,60067,1,3017,0,1,2026-03-12,1401 PHILOMENA ST UNIT 400
BEG Events,6096583021,Austin,78748,1,675,0,1,2026-03-12,1121 E 7TH ST
Transformations Remodeling and Building,5124157734,Austin,78704,1,1,1,0,2026-03-11,2002 WOOTEN DR
Goodvista LLC,5122897656,AUSTIN,78719,1,1,1,0,2026-03-11,405 TAWNY DR
Kane Remodeling,5125921555,AUSTIN,78747,1,5013,0,1,2026-03-11,9900 S IH 35 SVRD SB BLDG A UNIT 200
Square One Construction,5124598859,Austin,78751,1,90,1,0,2026-03-11,400 W 37TH ST
Liquid Assets Custom Pools,5124445444,San Antonio,78217,1,375,1,0,2026-03-11,3406 MONTE VISTA DR
Finished Work Roofing,2104131257,SAN ANTONIO,78209,1,1,1,0,2026-03-11,7204 SOUTH BROOK DR
